"","code_state","domicilios","residentes","cid","obitos"
"609",12,190621,729305,"W132",1
"610",12,190621,729305,"W139",3
"611",12,190621,729305,"W147",3
"612",12,190621,729305,"W149",2
"613",12,190621,729305,"W189",4
"614",12,190621,729305,"W199",2
"615",12,190621,729305,"W207",6
"616",12,190621,729305,"W209",14
"617",12,190621,729305,"W229",1
"618",12,190621,729305,"W349",1
"619",12,190621,729305,"W559",1
"620",12,190621,729305,"W690",1
"621",12,190621,729305,"W694",1
"622",12,190621,729305,"W698",2
"623",12,190621,729305,"W699",2
"624",12,190621,729305,"W700",1
"625",12,190621,729305,"W708",1
"626",12,190621,729305,"W740",1
"627",12,190621,729305,"W747",1
"628",12,190621,729305,"W749",16
"629",12,190621,729305,"W760",1
"630",12,190621,729305,"W774",1
"631",12,190621,729305,"W780",1
"632",12,190621,729305,"W781",1
"633",12,190621,729305,"W782",1
"634",12,190621,729305,"W785",1
"635",12,190621,729305,"W789",1
"636",12,190621,729305,"W794",1
"637",12,190621,729305,"W799",3
"638",12,190621,729305,"W800",1
"639",12,190621,729305,"W869",1
"640",12,190621,729305,"W870",1
"641",12,190621,729305,"W878",1
"642",12,190621,729305,"W879",7
"643",12,190621,729305,"X200",1
"644",12,190621,729305,"X207",2
"645",12,190621,729305,"X209",1
"646",12,190621,729305,"X369",1
"647",12,190621,729305,"X379",1
"648",12,190621,729305,"X420",1
"649",12,190621,729305,"X623",1
"650",12,190621,729305,"X629",1
"651",12,190621,729305,"X640",1
"652",12,190621,729305,"X649",1
"653",12,190621,729305,"X670",1
"654",12,190621,729305,"X700",61
"655",12,190621,729305,"X701",4
"656",12,190621,729305,"X708",2
"657",12,190621,729305,"X709",3
"658",12,190621,729305,"X710",1
"659",12,190621,729305,"X725",1
"660",12,190621,729305,"X740",1
"661",12,190621,729305,"X789",1
"662",12,190621,729305,"X790",1
"663",12,190621,729305,"X794",1
"664",12,190621,729305,"X899",1
"665",12,190621,729305,"X919",2
"666",12,190621,729305,"X930",9
"667",12,190621,729305,"X932",1
"668",12,190621,729305,"X934",1
"669",12,190621,729305,"X935",2
"670",12,190621,729305,"X938",2
"671",12,190621,729305,"X939",32
"672",12,190621,729305,"X959",94
"673",12,190621,729305,"X990",20
"674",12,190621,729305,"X993",2
"675",12,190621,729305,"X994",9
"676",12,190621,729305,"X997",2
"677",12,190621,729305,"X998",1
"678",12,190621,729305,"X999",36
"679",12,190621,729305,"Y000",1
"680",12,190621,729305,"Y004",1
"681",12,190621,729305,"Y005",2
"682",12,190621,729305,"Y006",1
"683",12,190621,729305,"Y009",10
"684",12,190621,729305,"Y049",8
"685",12,190621,729305,"Y099",1
"686",12,190621,729305,"Y208",1
"687",12,190621,729305,"Y209",1
"688",12,190621,729305,"Y294",3
"689",27,842802,3098848,"A020",1
"690",27,842802,3098848,"A021",3
"691",27,842802,3098848,"A029",2
"692",27,842802,3098848,"A048",2
"693",27,842802,3098848,"A049",13
"694",27,842802,3098848,"A081",1
"695",27,842802,3098848,"A085",2
"696",27,842802,3098848,"A09",65
"697",27,842802,3098848,"A150",4
"698",27,842802,3098848,"A153",6
"699",27,842802,3098848,"A159",6
"700",27,842802,3098848,"A160",1
"701",27,842802,3098848,"A161",2
"702",27,842802,3098848,"A162",55
"703",27,842802,3098848,"A169",10
"704",27,842802,3098848,"A270",2
"705",27,842802,3098848,"A279",11
"706",27,842802,3098848,"A289",1
"707",27,842802,3098848,"A319",1
"708",27,842802,3098848,"A390",4
"709",27,842802,3098848,"A392",1
"710",27,842802,3098848,"A403",4
"711",27,842802,3098848,"A408",1
"712",27,842802,3098848,"A409",1
"713",27,842802,3098848,"A410",7
"714",27,842802,3098848,"A415",1
"715",27,842802,3098848,"A418",50
"716",27,842802,3098848,"A419",547
"717",27,842802,3098848,"A46",73
"718",27,842802,3098848,"A480",1
"719",27,842802,3098848,"A483",4
"720",27,842802,3098848,"A499",4
"721",27,842802,3098848,"A502",3
"722",27,842802,3098848,"A509",4
"723",27,842802,3098848,"A779",2
"724",27,842802,3098848,"A86",7
"725",27,842802,3098848,"A879",1
"726",27,842802,3098848,"A90",6
"727",27,842802,3098848,"A91",16
"728",27,842802,3098848,"A920",2
"729",27,842802,3098848,"A929",1
"730",27,842802,3098848,"A985",1
"731",27,842802,3098848,"B022",1
"732",27,842802,3098848,"B162",2
"733",27,842802,3098848,"B169",5
"734",27,842802,3098848,"B178",2
"735",27,842802,3098848,"B181",1
"736",27,842802,3098848,"B182",2
"737",27,842802,3098848,"B188",1
"738",27,842802,3098848,"B189",2
"739",27,842802,3098848,"B199",2
"740",27,842802,3098848,"B200",28
"741",27,842802,3098848,"B201",15
"742",27,842802,3098848,"B202",1
"743",27,842802,3098848,"B203",1
"744",27,842802,3098848,"B206",8
"745",27,842802,3098848,"B207",58
"746",27,842802,3098848,"B208",17
"747",27,842802,3098848,"B209",2
"748",27,842802,3098848,"B210",1
"749",27,842802,3098848,"B213",1
"750",27,842802,3098848,"B220",2
"751",27,842802,3098848,"B222",1
"752",27,842802,3098848,"B227",15
"753",27,842802,3098848,"B230",1
"754",27,842802,3098848,"B232",1
"755",27,842802,3098848,"B238",1
"756",27,842802,3098848,"B24",17
"757",27,842802,3098848,"B333",1
"758",27,842802,3098848,"B341",1
"759",27,842802,3098848,"B342",735
"760",27,842802,3098848,"B349",5
"761",27,842802,3098848,"B378",1
"762",27,842802,3098848,"B49",1
"763",27,842802,3098848,"B550",4
"764",27,842802,3098848,"B572",56
"765",27,842802,3098848,"B573",6
"766",27,842802,3098848,"B575",3
"767",27,842802,3098848,"B651",30
"768",27,842802,3098848,"B652",1
"769",27,842802,3098848,"B659",19
"770",27,842802,3098848,"B749",1
